Date,_SPXD_Close,CPUSAM_Close,__XAU_D_Close,_NDXD_Close,_VIXD_Close,BRT_D_Close
01/02/2023,,,1823.6899,,,82.82
01/03/2023,3824.14,,1839.49,10862.64,22.9,80.36
01/04/2023,3852.97,,1854.09,10914.8,22.01,75.31
01/05/2023,3808.1,,1833.1899,10741.22,22.46,76.73
01/06/2023,3895.08,,1865.71,11040.35,21.13,76.41
01/09/2023,3892.09,,1871.59,11108.45,21.97,77.5
01/10/2023,3919.25,,1877.27,11205.78,20.58,78.4
01/11/2023,3969.61,,1876.38,11402.52,21.09,81.11
01/12/2023,3983.17,,1896.86,11459.61,18.83,82.59
01/13/2023,3999.09,,1920.21,11541.48,18.35,83.43
01/16/2023,3990.97,,1918,11557.19,19.36,82.65
01/17/2023,3990.97,,1908.39,11557.19,19.36,84.38
01/18/2023,3928.86,,1903.76,11410.29,20.34,83.78
01/19/2023,3898.85,,1931.39,11295.67,20.52,85.08
01/20/2023,3972.61,,1926.5699,11619.03,19.85,86.96
01/23/2023,4019.81,,1931.3,11872.54,19.81,87.54
01/24/2023,4016.95,,1937.45,11846.64,19.2,85.25
01/25/2023,4016.22,,1945.9301,11814.69,19.08,85.08
01/26/2023,4060.43,,1928.99,12051.48,18.73,86.29
01/27/2023,4070.56,,1927.34,12166.6,18.51,85.36
01/30/2023,4017.77,,1922.52,11912.39,19.94,84.9
01/31/2023,4076.6,299.17,1927.88,12101.93,19.4,83.42
02/01/2023,4119.21,300.84,1950.42,12363.1,17.87,81.61
02/02/2023,4179.76,300.84,1912.37,12803.14,18.73,80.57
02/03/2023,4136.48,300.84,1865.53,12573.36,18.33,78.85
02/06/2023,4111.08,300.84,1867.36,12464.51,19.43,80.48
02/07/2023,4164,300.84,1873.8101,12728.27,18.66,82.92
02/08/2023,4117.86,300.84,1875.59,12495.38,19.63,84.17
02/09/2023,4081.5,300.84,1861.39,12381.17,20.71,83.46
02/10/2023,4090.46,300.84,1864.67,12304.92,20.53,85.46
02/13/2023,4137.29,300.84,1853.39,12502.31,20.34,85.98
02/14/2023,4136.13,300.84,1854.29,12590.89,18.91,84.96
02/15/2023,4147.6,300.84,1836.1899,12687.89,18.23,84.11
02/16/2023,4090.41,300.84,1837.4399,12442.48,20.17,83.84
02/17/2023,4079.09,300.84,1841.59,12358.18,20.02,81.97
02/20/2023,3997.34,300.84,1841.14,12060.3,22.87,82.79
02/21/2023,3997.34,300.84,1834.3199,12060.3,22.87,82.14
02/22/2023,3991.05,300.84,1825.04,12066.27,22.29,79.55
02/23/2023,4012.32,300.84,1822.64,12180.14,21.14,82.08
02/24/2023,3970.04,300.84,1810.8101,11969.65,21.67,82.31
02/27/2023,3982.24,300.84,1817.3101,12057.79,20.95,81.24
02/28/2023,3970.15,300.84,1827.15,12042.12,20.7,83.21
03/01/2023,3951.39,301.836,1836.8101,11938.57,20.58,83.68
03/02/2023,3981.35,301.836,1836,12044.87,19.59,84.15
03/03/2023,4045.64,301.836,1830.89,12290.81,18.49,85.74
03/06/2023,4048.42,301.836,1830.89,12302.48,18.61,85.86
03/07/2023,3986.37,301.836,1830.89,12152.17,19.59,83.03
03/08/2023,3992.01,301.836,1830.89,12215.33,19.11,82.1
03/09/2023,3918.32,301.836,1830.89,11995.88,22.61,81
03/10/2023,3861.59,301.836,1867.83,11830.28,24.8,82.3
03/13/2023,3855.76,301.836,1913.24,11923.17,26.52,79.67
03/14/2023,3919.29,301.836,1902.12,12199.79,23.73,76.77
03/15/2023,3891.93,301.836,1918.1,12251.32,26.14,74.3
03/16/2023,3960.28,301.836,1919.12,12581.39,22.99,73.12
03/17/2023,3916.64,301.836,1987.9301,12519.88,25.51,71.03
03/20/2023,3951.57,301.836,1978.71,12562.61,24.15,72.42
03/21/2023,4002.87,301.836,1940.15,12741.44,21.38,74.78
03/22/2023,3936.97,301.836,1969.58,12567.15,22.26,76.08
03/23/2023,3948.72,301.836,1993.5,12729.23,22.61,74.31
03/24/2023,3970.99,301.836,1977.22,12767.05,21.74,73.63
03/27/2023,3977.53,301.836,1956.5601,12673.07,20.6,76.8
03/28/2023,3971.27,301.836,1973.6899,12610.57,19.97,78.07
03/29/2023,4027.81,301.836,1964.04,12846.03,19.12,77.51
03/30/2023,4050.83,301.836,1980.25,12963.14,19.02,78.45
03/31/2023,4109.31,301.836,1967.9,13181.35,18.7,79.19
04/03/2023,4124.51,303.363,1984.11,13148.35,18.55,85.81
04/04/2023,4100.6,303.363,2019.97,13100.08,19,85.7
04/05/2023,4090.38,303.363,2020.35,12967.2,19.08,85.89
04/06/2023,4105.02,303.363,2008.02,13062.6,18.4,86.56
04/07/2023,4109.11,303.363,1989.96,13051.23,18.97,86.56
04/10/2023,4109.11,303.363,1989.96,13051.23,18.97,86.56
04/11/2023,4108.94,303.363,2003.14,12964.15,19.1,87.32
04/12/2023,4091.95,303.363,2014.67,12848.35,19.09,88.31
04/13/2023,4146.22,303.363,2039.74,13109.39,17.8,86.51
04/14/2023,4137.64,303.363,2003.04,13079.52,17.07,87.31
04/17/2023,4151.32,303.363,1994.77,13087.71,16.95,85.63
04/18/2023,4154.87,303.363,2004.9301,13091.79,16.83,85.48
04/19/2023,4154.52,303.363,1993.26,13088.71,16.46,85.34
04/20/2023,4129.79,303.363,2004.34,12985.98,17.17,83.29
04/21/2023,4133.52,303.363,1982.89,13000.77,16.77,83.36
04/24/2023,4137.04,303.363,1988.88,12969.76,16.89,84.23
04/25/2023,4071.63,303.363,1997.87,12725.11,18.76,82.13
04/26/2023,4055.99,303.363,1989.48,12806.48,18.84,79.19
04/27/2023,4135.35,303.363,1987.87,13160.03,17.03,80.11
04/28/2023,4169.48,303.363,1989.65,13245.99,15.78,81.32
04/30/2023,4167.87,303.363,1982.05,13231.47,16.08,76.71
05/01/2023,4167.87,304.127,1982.05,13231.47,16.08,76.71
05/02/2023,4119.58,304.127,2016.28,13113.66,17.78,76.71
05/03/2023,4090.75,304.127,2039.02,13030.21,18.34,72.91
05/04/2023,4061.22,304.127,2051.1101,12982.48,20.09,73
05/05/2023,4136.25,304.127,2016.54,13259.13,17.19,75.85
05/08/2023,4138.12,304.127,2021.39,13291.64,16.98,77.76
05/09/2023,4119.17,304.127,2034.17,13201.11,17.71,77.76
05/10/2023,4137.64,304.127,2029.51,13347.83,16.94,76.7
05/11/2023,4130.62,304.127,2015.55,13389.78,16.93,75.32
05/12/2023,4124.08,304.127,2011.15,13340.18,17.03,74.54
05/15/2023,4136.28,304.127,2018.41,13413.51,17.12,75.46
05/16/2023,4109.9,304.127,1988.6,13426.01,17.99,75.15
05/17/2023,4158.77,304.127,1981.72,13589.26,16.87,76.98
05/18/2023,4198.05,304.127,1958.05,13834.62,16.05,75.75
05/19/2023,4191.98,304.127,1976.5601,13803.49,16.81,75.42
05/22/2023,4192.63,304.127,1969.4301,13849.74,17.21,75.77
05/23/2023,4145.58,304.127,1974.73,13672.54,18.53,76.66
05/24/2023,4115.24,304.127,1957.01,13604.48,20.03,77.99
05/25/2023,4151.28,304.127,1940.34,13938.53,19.14,75.66
05/26/2023,4205.45,304.127,1946.33,14298.41,17.95,76.33
05/29/2023,4205.52,304.127,1942.84,14354.99,17.46,73.38
05/30/2023,4205.52,304.127,1959.14,14354.99,17.46,73.38
05/31/2023,4179.83,304.127,1962.3,14254.09,17.94,71.98
06/01/2023,4221.02,305.109,1977.88,14441.51,15.65,74.18
06/02/2023,4282.37,305.109,1947.63,14546.64,14.6,76
06/05/2023,4273.79,305.109,1961.45,14556.5,14.73,76.61
06/06/2023,4283.85,305.109,1962.85,14558.09,13.96,76.22
06/07/2023,4267.52,305.109,1939.63,14303.29,13.94,76.85
06/08/2023,4293.93,305.109,1967.76,14484.54,13.65,75.88
06/09/2023,4298.86,305.109,1960.6,14528.36,13.83,74.74
06/12/2023,4338.93,305.109,1956.92,14784.3,15.01,71.8
06/13/2023,4369.01,305.109,1943.33,14900.85,14.61,74.24
06/14/2023,4372.59,305.109,1942.99,15005.69,13.88,73.39
06/15/2023,4425.84,305.109,1957.65,15185.48,14.5,75.75
06/16/2023,4409.59,305.109,1957.36,15083.92,13.54,76.76
06/19/2023,4388.71,305.109,1950.12,15070.15,13.88,76.09
06/20/2023,4388.71,305.109,1935.91,15070.15,13.88,75.79
06/21/2023,4365.69,305.109,1932.26,14867.45,13.2,76.92
06/22/2023,4381.89,305.109,1913.52,15042.32,12.91,73.93
06/23/2023,4348.33,305.109,1921.36,14891.48,13.44,73.56
06/26/2023,4328.82,305.109,1922.85,14689.02,14.25,73.86
06/27/2023,4378.41,305.109,1913.35,14945.91,13.74,71.88
06/28/2023,4376.86,305.109,1907.42,14964.57,13.43,73.64
06/29/2023,4396.44,305.109,1908.15,14939.95,13.54,73.86
06/30/2023,4450.38,305.109,1919.5699,15179.21,13.59,74.51
07/03/2023,4455.59,305.691,1921.4301,15208.69,13.57,74.52
07/04/2023,4446.82,305.691,1925.09,15203.78,15.44,76.23
07/05/2023,4446.82,305.691,1917.3199,15203.78,15.44,76.74
07/06/2023,4411.59,305.691,1910.8,15089.45,15.44,76.72
07/07/2023,4398.95,305.691,1924.28,15036.85,14.83,78.77
07/10/2023,4409.53,305.691,1924.99,15045.64,15.07,77.83
07/11/2023,4439.26,305.691,1932,15119.06,14.84,79.54
07/12/2023,4472.16,305.691,1957.09,15307.23,13.54,80.35
07/13/2023,4510.04,305.691,1960.1899,15571.98,13.61,81.31
07/14/2023,4505.42,305.691,1954.9301,15565.6,13.34,79.9
07/17/2023,4522.79,305.691,1954.74,15713.28,13.48,77.8
07/18/2023,4554.98,305.691,1978.72,15841.35,13.3,79.54
07/19/2023,4565.72,305.691,1976.74,15826.35,13.76,79.38
07/20/2023,4534.87,305.691,1969.62,15466.09,13.99,79.62
07/21/2023,4536.34,305.691,1960.23,15425.67,13.6,81.06
07/24/2023,4554.64,305.691,1954.51,15448.02,13.91,82.53
07/25/2023,4567.46,305.691,1964.58,15561.42,13.86,83.46
07/26/2023,4566.75,305.691,1972.1,15499.26,13.19,82.98
07/27/2023,4537.41,305.691,1944.99,15464.93,14.41,84.28
07/28/2023,4582.23,305.691,1959.2,15750.93,13.33,84.49
07/31/2023,4588.96,305.691,1964.1899,15757,13.63,85.22
08/01/2023,4576.73,307.026,1944.08,15718.01,13.93,85.34
08/02/2023,4513.39,307.026,1933.5601,15370.74,16.09,84.01
08/03/2023,4501.89,307.026,1933.74,15353.54,15.92,86.19
08/04/2023,4478.03,307.026,1941.62,15274.92,17.1,87.38
08/07/2023,4518.44,307.026,1936.39,15407.85,15.77,86.47
08/08/2023,4499.38,307.026,1924.8199,15273.05,15.99,88
08/09/2023,4467.71,307.026,1914.59,15101.71,15.96,89.31
08/10/2023,4468.83,307.026,1912.0601,15128.84,15.85,87.44
08/11/2023,4464.05,307.026,1913.3199,15028.07,14.84,87.93
08/14/2023,4489.72,307.026,1907.9,15205.59,14.82,87.4
08/15/2023,4437.86,307.026,1901.5601,15037.65,16.46,86.28
08/16/2023,4404.33,307.026,1891.76,14876.47,16.78,84.49
08/17/2023,4370.36,307.026,1888.89,14715.81,17.89,85.24
08/18/2023,4369.71,307.026,1888.1899,14694.84,17.3,85.92
08/21/2023,4399.77,307.026,1893.9399,14936.69,17.13,85.44
08/22/2023,4387.55,307.026,1897.47,14908.96,16.97,84.7
08/23/2023,4436.01,307.026,1914.3101,15148.06,15.98,83.94
08/24/2023,4376.31,307.026,1917.4301,14816.44,17.2,84.07
08/25/2023,4405.71,307.026,1914.53,14941.83,15.68,85.42
08/28/2023,4433.31,307.026,1919.66,15052.46,15.08,86.37
08/29/2023,4497.63,307.026,1937.12,15376.55,14.45,86.37
08/30/2023,4514.87,307.026,1942.24,15462.43,13.88,86.62
08/31/2023,4507.66,307.026,1939.74,15501.07,13.57,87.29
09/01/2023,4515.77,307.789,1938.8,15490.86,13.09,89.98
09/04/2023,4496.83,307.789,1938.1899,15508.24,14.01,90.42
09/05/2023,4496.83,307.789,1925.8101,15508.24,14.01,91.25
09/06/2023,4465.48,307.789,1916.28,15371.44,14.45,91.79
09/07/2023,4451.14,307.789,1919.1899,15258.52,14.4,91.16
09/08/2023,4457.49,307.789,1917.8101,15280.23,13.84,91.85
09/11/2023,4487.46,307.789,1921.66,15461.87,13.8,91.97
09/12/2023,4461.9,307.789,1913.26,15289.74,14.23,93.58
09/13/2023,4467.44,307.789,1906.3,15348.53,13.48,93.04
09/14/2023,4505.1,307.789,1910.3199,15473.89,12.82,95.2
09/15/2023,4450.32,307.789,1923.58,15202.4,13.79,95.55
09/18/2023,4453.53,307.789,1933.14,15225.37,14,95.95
09/19/2023,4443.95,307.789,1930.9399,15191.23,14.11,96.11
09/20/2023,4402.2,307.789,1929.6801,14969.92,15.14,94.56
09/21/2023,4330,307.789,1919.5699,14694.24,17.54,93.7
09/22/2023,4320.06,307.789,1924.99,14701.1,17.2,93.99
09/25/2023,4337.44,307.789,1915.66,14768.9,16.9,94.01
09/26/2023,4273.53,307.789,1900.49,14545.83,18.94,94.46
09/27/2023,4274.51,307.789,1874.7,14580.16,18.22,97.1
09/28/2023,4299.7,307.789,1864.5601,14702.77,17.34,96.64
09/29/2023,4288.05,307.789,1848.3101,14715.24,17.52,95.86
09/30/2023,4288.39,307.789,1827.4,14837.57,17.61,91.21
10/02/2023,4288.39,307.671,1827.4,14837.57,17.61,91.21
