Date,Close
01/02/1998,132.38
01/05/1998,133.55
01/06/1998,133.67
01/07/1998,131.52
01/08/1998,132.6
01/09/1998,131.98
01/12/1998,132.66
01/13/1998,131.4
01/14/1998,130.93
01/15/1998,129.81
01/16/1998,129.23
01/19/1998,129
01/20/1998,128.4
01/21/1998,126.99
01/22/1998,127.15
01/23/1998,125.55
01/26/1998,126.48
01/27/1998,125.33
01/28/1998,125.03
01/29/1998,125.8
01/30/1998,127
02/02/1998,126.4
02/03/1998,125.78
02/04/1998,123.68
02/05/1998,123.55
02/06/1998,123.85
02/09/1998,124.08
02/10/1998,123.22
02/11/1998,123.49
02/12/1998,124.66
02/13/1998,125.14
02/16/1998,125.87
02/17/1998,126.5
02/18/1998,126.4
02/19/1998,125.92
02/20/1998,127.78
02/23/1998,127.79
02/24/1998,127.93
02/25/1998,128.48
02/26/1998,127.17
02/27/1998,126.1
03/02/1998,125.48
03/03/1998,126.18
03/04/1998,126.7
03/05/1998,127.86
03/06/1998,127.66
03/09/1998,127.78
03/10/1998,127.4
03/11/1998,129.4
03/12/1998,129.08
03/13/1998,127.8
03/16/1998,129.57
03/17/1998,128.8
03/18/1998,130.02
03/19/1998,130.79
03/20/1998,130.4
03/23/1998,130.45
03/24/1998,130.27
03/25/1998,128.82
03/26/1998,128.41
03/27/1998,130.3
03/30/1998,131.92
03/31/1998,133.1
04/01/1998,133.6
04/02/1998,133.67
04/03/1998,135.15
04/06/1998,134.7
04/07/1998,133.43
04/08/1998,131.35
04/09/1998,131.3
04/10/1998,128.62
04/13/1998,129.54
04/14/1998,129.47
04/15/1998,130.32
04/16/1998,131.73
04/17/1998,131.7
04/20/1998,132.1
04/21/1998,131.26
04/22/1998,130.41
04/23/1998,129.95
04/24/1998,131.13
04/27/1998,132.25
04/28/1998,132.2
04/29/1998,132.23
04/30/1998,132.72
05/01/1998,133.4
05/04/1998,132.98
05/05/1998,131.53
05/06/1998,133.12
05/07/1998,133.27
05/08/1998,132.85
05/11/1998,132.85
05/12/1998,133.95
05/13/1998,134.05
05/14/1998,133.63
05/15/1998,134.42
05/18/1998,136.1
05/19/1998,136.38
05/20/1998,135.95
05/21/1998,134.97
05/22/1998,135.8
05/25/1998,136.93
05/26/1998,137.8
05/27/1998,137.45
05/28/1998,138.75
05/29/1998,138.75
06/01/1998,139.62
06/02/1998,138.75
06/03/1998,138.65
06/04/1998,138.46
06/05/1998,139.85
06/08/1998,140.73
06/09/1998,140.15
06/10/1998,141.54
06/11/1998,143.95
06/12/1998,144.15
06/15/1998,146.15
06/16/1998,143.24
06/17/1998,136.66
06/18/1998,137.65
06/19/1998,137.08
06/22/1998,137.85
06/23/1998,139.25
06/24/1998,141.23
06/25/1998,142.17
06/26/1998,142.1
06/29/1998,141.83
06/30/1998,138.7
07/01/1998,138.05
07/02/1998,140.7
