date,Accurate Sentiments,Sentiment_Labels
2023-01-01 06:04:00,-0.9765482544898988,Negative
2023-01-01 10:00:00,0.998450756072998,Positive
2023-01-01 13:08:00,-0.998422384262085,Negative
2023-01-01 17:08:00,0.0,Neutral
2023-01-01 17:11:00,0.996453046798706,Positive
2023-01-02 03:29:00,-0.980634331703186,Negative
2023-01-02 08:17:00,0.0,Neutral
2023-01-02 09:01:00,0.5794861912727356,Positive
2023-01-02 09:07:00,-0.8802267909049988,Negative
2023-01-02 10:10:00,-0.995835542678833,Negative
2023-01-02 18:14:00,0.999409794807434,Positive
2023-01-02 22:01:00,0.0,Neutral
2023-01-03 02:28:00,0.0,Neutral
2023-01-03 04:16:00,0.9993380904197692,Positive
2023-01-03 05:17:00,0.9935965538024902,Positive
2023-01-03 11:07:00,0.9996113181114196,Positive
2023-01-03 11:09:00,0.0,Neutral
2023-01-03 11:46:00,0.9995518326759338,Positive
2023-01-03 13:12:00,0.0,Neutral
2023-01-03 14:30:00,0.0,Neutral
2023-01-03 15:01:00,0.0,Neutral
2023-01-03 20:12:00,-0.9968090653419496,Negative
2023-01-03 23:13:00,0.9996927976608276,Positive
2023-01-04 02:32:00,0.9785056114196776,Positive
2023-01-04 05:01:00,-0.9897510409355164,Negative
2023-01-04 06:29:00,0.999685287475586,Positive
2023-01-04 07:45:00,0.0,Neutral
2023-01-04 08:23:00,0.0,Neutral
2023-01-04 10:05:00,0.9900829195976256,Positive
2023-01-04 10:40:00,0.0,Neutral
2023-01-04 11:36:00,-0.8952016830444336,Negative
2023-01-04 11:53:00,0.9975589513778688,Positive
2023-01-04 13:30:00,0.0,Neutral
2023-01-04 15:01:00,0.0,Neutral
2023-01-04 16:22:00,-0.9983293414115906,Negative
2023-01-04 18:19:00,0.9994068145751952,Positive
2023-01-04 18:59:00,-0.9981738328933716,Negative
2023-01-04 19:06:00,0.9995056390762328,Positive
2023-01-04 22:10:00,0.0,Neutral
2023-01-05 08:25:00,0.0,Neutral
2023-01-05 12:36:00,-0.581849992275238,Negative
2023-01-05 14:06:00,0.0,Neutral
2023-01-05 17:01:00,0.0,Neutral
2023-01-06 09:33:00,0.0,Neutral
2023-01-06 09:46:00,0.9989205598831176,Positive
2023-01-06 10:04:00,0.0,Neutral
2023-01-06 10:26:00,0.0,Neutral
2023-01-06 10:31:00,-0.9541581273078918,Negative
2023-01-06 11:46:00,0.0,Neutral
2023-01-06 13:33:00,0.0,Neutral
2023-01-06 14:06:00,-0.8400500416755676,Negative
2023-01-06 15:37:00,-0.9984548091888428,Negative
2023-01-06 19:48:00,0.9910048246383668,Positive
2023-01-06 20:36:00,-0.997538447380066,Negative
2023-01-06 20:44:00,-0.9984959363937378,Negative
2023-01-07 10:53:00,0.9994226694107056,Positive
2023-01-08 08:25:00,-0.9351846575737,Negative
2023-01-08 14:05:00,0.0,Neutral
2023-01-08 14:15:00,0.0,Neutral
2023-01-09 06:01:00,-0.9741429686546326,Negative
2023-01-09 09:27:00,-0.9917317032814026,Negative
2023-01-09 09:51:00,0.0,Neutral
2023-01-09 12:03:00,0.0,Neutral
2023-01-09 13:45:00,0.0,Neutral
2023-01-09 15:01:00,0.9995959401130676,Positive
2023-01-09 16:10:00,-0.9943963289260864,Negative
2023-01-09 18:01:00,0.9987308382987976,Positive
2023-01-09 18:31:00,0.0,Neutral
2023-01-09 19:30:00,0.989747166633606,Positive
2023-01-09 22:01:00,0.0,Neutral
2023-01-10 08:13:00,-0.9978209733963012,Negative
2023-01-10 11:42:00,0.0,Neutral
2023-01-10 15:19:00,0.0,Neutral
2023-01-10 16:46:00,0.0,Neutral
2023-01-10 17:06:00,0.0,Neutral
2023-01-10 19:47:00,0.9995130300521852,Positive
2023-01-10 23:12:00,0.9993613362312316,Positive
2023-01-11 00:01:00,0.0,Neutral
2023-01-11 00:39:00,0.0,Neutral
2023-01-11 02:45:00,0.577612042427063,Positive
2023-01-11 08:30:00,0.0,Neutral
2023-01-11 09:53:00,0.9994275569915771,Positive
2023-01-11 11:10:00,-0.99665367603302,Negative
2023-01-11 12:04:00,0.0,Neutral
2023-01-11 12:49:00,0.0,Neutral
2023-01-11 13:08:00,0.0,Neutral
2023-01-11 14:00:00,0.9993657469749452,Positive
2023-01-11 15:01:00,0.0,Neutral
2023-01-11 15:34:00,0.9996823072433472,Positive
2023-01-11 16:09:00,0.0,Neutral
2023-01-11 17:00:00,-0.9970213770866394,Negative
2023-01-11 19:35:00,0.9964336156845092,Positive
2023-01-11 21:16:00,0.0,Neutral
2023-01-11 21:35:00,0.999638557434082,Positive
2023-01-12 00:39:00,0.0,Neutral
2023-01-12 01:43:00,0.0,Neutral
2023-01-12 01:49:00,0.0,Neutral
2023-01-12 05:52:00,0.9993988275527954,Positive
2023-01-12 07:00:00,0.9989737272262572,Positive
2023-01-12 07:50:00,0.999052107334137,Positive
2023-01-12 08:43:00,0.9994056224822998,Positive
2023-01-12 10:49:00,0.9939252734184264,Positive
2023-01-12 10:55:00,0.0,Neutral
2023-01-12 11:10:00,0.0,Neutral
2023-01-12 11:38:00,0.0,Neutral
2023-01-12 13:37:00,0.0,Neutral
2023-01-12 15:12:00,0.0,Neutral
2023-01-12 15:40:00,0.9987887740135192,Positive
2023-01-12 16:00:00,0.0,Neutral
2023-01-12 17:01:00,0.0,Neutral
2023-01-12 18:01:00,0.0,Neutral
2023-01-12 18:08:00,0.9993937015533448,Positive
2023-01-12 20:25:00,0.9989598989486694,Positive
2023-01-12 20:31:00,0.9378378391265868,Positive
2023-01-13 00:01:00,-0.9284210205078124,Negative
2023-01-13 00:02:00,-0.9850257039070128,Negative
2023-01-13 05:57:00,0.0,Neutral
2023-01-13 06:06:00,0.9994049072265624,Positive
2023-01-13 06:15:00,0.9995162487030028,Positive
2023-01-13 11:13:00,0.9995337724685668,Positive
2023-01-13 12:16:00,-0.9980430603027344,Negative
2023-01-13 13:39:00,0.5696903467178345,Positive
2023-01-13 15:30:00,-0.9960299134254456,Negative
2023-01-13 17:54:00,0.9993659853935242,Positive
